,0,1,2,3
0,0.0,1.694,-4.0,0.0
1,0.0,1.976,-4.0,0.0
2,0.0,-1.672,-4.0,0.0
3,0.0,5.763,-4.0,0.0
4,0.0,1.373,-4.0,0.0
5,0.0,-1.672,-4.0,0.0
6,0.0,-1.672,-4.0,0.0
7,0.0,,-4.0,0.0
8,0.0,-2.921,-4.0,0.0
9,0.0,-1.672,-4.0,0.0
10,0.0,8.075,-4.0,0.0
11,0.0,-1.665,-4.0,0.0
12,0.0,1.49,-4.0,0.0
13,0.0,22.814,-4.0,0.0
14,0.0,7.743,-4.0,0.0
15,0.0,-1.672,-4.0,0.0
16,0.0,,-4.0,0.0
17,0.0,-1.672,-4.0,0.0
18,0.0,-1.672,-4.0,0.0
19,0.0,1.616,-4.0,0.0
20,0.0,-1.647,-4.0,0.0
21,0.0,-4.0,-4.0,0.0
22,0.0,-2.921,-4.0,0.0
23,0.0,-0.158,-4.0,0.0
24,0.0,1.694,-4.0,0.0
25,0.0,1.617,-4.0,0.0
26,0.0,-0.236,-4.0,0.0
27,0.0,-1.665,-4.0,0.0
28,0.0,-2.921,-4.0,0.0
29,0.0,-0.181,-4.0,0.0
30,0.0,-2.921,-4.0,0.0
31,0.0,-2.926,-4.0,0.0
32,0.0,1.536,-4.0,0.0
33,0.0,-2.921,-4.0,0.0
34,0.0,-0.106,-4.0,0.0
35,0.0,-0.181,-4.0,0.0
36,0.0,-0.252,-4.0,0.0
37,0.0,-2.926,-4.0,0.0
38,0.0,-1.69,-4.0,0.0
39,0.0,1.704,-4.0,0.0
40,0.0,-1.665,-4.0,0.0
41,0.0,-1.665,-4.0,0.0
42,0.0,-1.647,-4.0,0.0
43,0.0,-1.672,-4.0,0.0
44,0.0,-1.696,-4.0,0.0
45,0.0,18.65,-4.0,0.0
46,0.0,-4.0,-4.0,0.0
47,0.0,-1.672,-4.0,0.0
48,0.0,-0.158,-4.0,0.0
49,0.0,-0.181,-4.0,0.0
