,0,1,2,3
0,0.0,-0.558,-3.0,0.0
1,0.0,-0.65,-3.0,0.0
2,0.0,1.4,-3.0,0.0
3,0.0,1.065,-3.0,0.0
4,0.0,8.767,-3.0,0.0
5,0.0,-0.633,-3.0,0.0
6,0.0,-1.922,-3.0,0.0
7,0.0,1.126,-3.0,0.0
8,0.0,1.126,-3.0,0.0
9,0.0,1.674,-3.0,0.0
10,0.0,-1.922,-3.0,0.0
11,0.0,1.35,-3.0,0.0
12,0.0,-0.622,-3.0,0.0
13,0.0,-0.633,-3.0,0.0
14,0.0,-1.922,-3.0,0.0
15,0.0,-0.726,-3.0,0.0
16,0.0,-0.727,-3.0,0.0
17,0.0,-0.63,-3.0,0.0
18,0.0,1.18,-3.0,0.0
19,0.0,-0.727,-3.0,0.0
20,0.0,-0.678,-3.0,0.0
21,0.0,1.869,-3.0,0.0
22,0.0,-1.922,-3.0,0.0
23,0.0,3.451,-3.0,0.0
24,0.0,1.444,-3.0,0.0
25,0.0,-0.651,-3.0,0.0
26,0.0,-1.922,-3.0,0.0
27,0.0,-0.633,-3.0,0.0
28,0.0,-1.922,-3.0,0.0
29,0.0,3.992,-3.0,0.0
30,0.0,0.857,-3.0,0.0
31,0.0,0.891,-3.0,0.0
32,0.0,6.151,-3.0,0.0
33,0.0,,-3.0,0.0
34,0.0,-0.633,-3.0,0.0
35,0.0,-0.287,-3.0,0.0
36,0.0,-1.922,-3.0,0.0
37,0.0,-3.0,-3.0,0.0
38,0.0,0.773,-3.0,0.0
39,0.0,-3.0,-3.0,0.0
40,0.0,1.869,-3.0,0.0
41,0.0,-0.726,-3.0,0.0
42,0.0,-1.922,-3.0,0.0
43,0.0,-1.961,-3.0,0.0
44,0.0,1.257,-3.0,0.0
45,0.0,,-3.0,0.0
46,0.0,-0.287,-3.0,0.0
47,0.0,5.292,-3.0,0.0
48,0.0,4.371,-3.0,0.0
49,0.0,-0.63,-3.0,0.0
